arrival_date,label,revenue
2015-07-01,2.0,8133.698
2015-07-02,1.0,3507.2961
2015-07-03,1.0,3643.1086
2015-07-04,1.0,3981.6194
2015-07-05,1.0,4046.57
2015-07-06,2.0,3962.2239
2015-07-07,1.0,2583.0828
2015-07-08,1.0,2956.6238
2015-07-09,1.0,2623.1565
2015-07-10,2.0,4949.4395
2015-07-11,2.0,6573.959
2015-07-12,2.0,4524.1895
2015-07-13,2.0,4435.327
2015-07-14,1.0,2524.9453
2015-07-15,1.0,3841.5542
2015-07-16,2.0,4524.12
2015-07-17,3.0,9970.788
2015-07-18,3.0,7858.3257
2015-07-19,2.0,4142.698
2015-07-20,3.0,5747.603
2015-07-21,1.0,2858.5881
2015-07-22,1.0,3801.973
2015-07-23,2.0,6224.7236
2015-07-24,2.0,5949.061
2015-07-25,3.0,9048.021
2015-07-26,2.0,3939.4587
2015-07-27,3.0,7656.115
2015-07-28,1.0,2541.02
2015-07-29,1.0,3051.712
2015-07-30,2.0,4126.286
2015-07-31,2.0,5776.1504
2015-08-01,5.0,7723.6895
2015-08-02,3.0,5399.7954
2015-08-03,3.0,7258.45
2015-08-04,2.0,4176.212
2015-08-05,2.0,7102.24
2015-08-06,1.0,5255.208
2015-08-07,2.0,7636.0938
2015-08-08,4.0,11765.588
2015-08-09,3.0,9445.714
2015-08-10,6.0,14347.817
2015-08-11,3.0,8309.9795
2015-08-12,1.0,6918.0845
2015-08-13,2.0,6420.56
2015-08-14,4.0,13156.313
2015-08-15,5.0,11600.48
2015-08-16,4.0,9669.345
2015-08-17,5.0,11720.227
2015-08-18,3.0,7408.343
2015-08-19,2.0,6027.8345
2015-08-20,2.0,6238.4937
2015-08-21,3.0,7825.707
2015-08-22,5.0,9601.432
2015-08-23,4.0,7809.103
2015-08-24,3.0,9808.927
2015-08-25,2.0,5865.421
2015-08-26,1.0,6024.826
2015-08-27,1.0,4305.0713
2015-08-28,2.0,7741.6973
2015-08-29,3.0,10597.952
2015-08-30,2.0,6507.0044
2015-08-31,2.0,8210.429
2015-09-01,3.0,6924.0146
2015-09-02,1.0,5491.484
2015-09-03,2.0,8431.29
2015-09-04,3.0,13606.911
2015-09-05,3.0,9599.236
2015-09-06,4.0,12286.492
2015-09-07,3.0,9498.913
2015-09-08,2.0,6864.924
2015-09-09,2.0,11317.263
2015-09-10,2.0,5305.018
2015-09-11,2.0,10415.377
2015-09-12,2.0,7165.2437
2015-09-13,2.0,5096.7354
2015-09-14,3.0,9926.287
2015-09-15,2.0,7325.567
2015-09-16,2.0,10332.548
2015-09-17,2.0,9812.108
2015-09-18,3.0,13343.485
2015-09-19,4.0,11105.738
2015-09-20,3.0,8350.239
2015-09-21,3.0,12446.139
2015-09-22,2.0,8376.956
2015-09-23,3.0,11747.718
2015-09-24,2.0,8101.663
2015-09-25,9.0,22193.984
2015-09-26,3.0,10606.627
2015-09-27,1.0,5572.9
2015-09-28,2.0,6586.2275
2015-09-29,1.0,4439.818
2015-09-30,1.0,8708.956
2015-10-01,2.0,7122.922
2015-10-02,3.0,15033.888
2015-10-03,1.0,4239.145
2015-10-04,3.0,10850.262
2015-10-05,2.0,10159.176
2015-10-06,2.0,8150.953
2015-10-07,2.0,9739.295
2015-10-08,1.0,4758.494
2015-10-09,3.0,11690.007
2015-10-10,2.0,9577.831
2015-10-11,1.0,5770.523
2015-10-12,3.0,11524.399
2015-10-13,1.0,6704.426
2015-10-14,1.0,4494.5986
2015-10-15,2.0,11137.654
2015-10-16,2.0,11883.411
2015-10-17,1.0,4692.882
2015-10-18,3.0,8244.905
2015-10-19,4.0,13203.613
2015-10-20,2.0,8091.5903
2015-10-21,1.0,5947.252
2015-10-22,1.0,5639.1855
2015-10-23,2.0,6595.965
2015-10-24,1.0,5542.282
2015-10-25,4.0,12629.55
2015-10-26,1.0,4808.064
2015-10-27,0.0,3364.8945
2015-10-28,2.0,10223.833
2015-10-29,1.0,5774.6504
2015-10-30,0.0,4877.0854
2015-10-31,1.0,6715.129
2015-11-01,1.0,3628.6008
2015-11-02,1.0,3112.815
2015-11-03,0.0,2975.839
2015-11-04,0.0,3039.2798
2015-11-05,0.0,3539.9172
2015-11-06,1.0,5489.102
2015-11-07,1.0,3651.356
2015-11-08,1.0,2641.5981
2015-11-09,0.0,2865.7168
2015-11-10,0.0,2198.9543
2015-11-11,0.0,2841.228
2015-11-12,0.0,2347.3555
2015-11-13,0.0,1898.6431
2015-11-14,0.0,2746.8108
2015-11-15,0.0,1724.4928
2015-11-16,0.0,2967.4768
2015-11-17,0.0,4244.0073
2015-11-18,2.0,8545.244
2015-11-19,0.0,2617.0176
2015-11-20,1.0,8207.448
2015-11-21,0.0,3664.3223
2015-11-22,0.0,2829.5276
2015-11-23,2.0,9467.645
2015-11-24,0.0,3406.1326
2015-11-25,0.0,2182.4768
2015-11-26,0.0,2654.3098
2015-11-27,1.0,6405.862
2015-11-28,0.0,2653.2114
2015-11-29,0.0,1285.5571
2015-11-30,0.0,2308.0564
2015-12-01,0.0,2138.8716
2015-12-02,0.0,2737.2354
2015-12-03,0.0,3505.136
2015-12-04,2.0,6229.029
2015-12-05,6.0,20425.363
2015-12-06,0.0,3704.4817
2015-12-07,0.0,1343.4933
2015-12-08,0.0,1367.3109
2015-12-09,0.0,3475.6187
2015-12-10,0.0,2842.7612
2015-12-11,0.0,2211.5356
2015-12-12,0.0,2699.5964
2015-12-13,0.0,915.91595
2015-12-14,0.0,1982.4343
2015-12-15,0.0,1345.2988
2015-12-16,0.0,2170.3333
2015-12-17,0.0,2214.548
2015-12-18,0.0,3061.5388
2015-12-19,0.0,3826.8337
2015-12-20,0.0,2075.8184
2015-12-21,0.0,2334.4688
2015-12-22,0.0,2505.5312
2015-12-23,1.0,2915.0732
2015-12-24,0.0,4200.6743
2015-12-25,0.0,2576.3037
2015-12-26,2.0,6740.0166
2015-12-27,2.0,7167.3433
2015-12-28,1.0,5651.32
2015-12-29,2.0,7523.67
2015-12-30,6.0,18060.307
2015-12-31,2.0,7714.09
2016-01-01,0.0,2859.3638
2016-01-02,2.0,10806.47
2016-01-03,0.0,3273.3838
2016-01-04,1.0,4672.485
2016-01-05,0.0,1892.8367
2016-01-06,0.0,2997.9094
2016-01-07,0.0,2340.8938
2016-01-08,0.0,3150.5852
2016-01-09,0.0,2519.7913
2016-01-10,0.0,2831.4397
2016-01-11,0.0,2161.9045
2016-01-12,0.0,2892.742
2016-01-13,0.0,1995.3633
2016-01-14,0.0,4200.346
2016-01-15,1.0,4660.2896
2016-01-16,0.0,3711.8406
2016-01-17,0.0,2481.8271
2016-01-18,0.0,2889.881
2016-01-19,1.0,6563.887
2016-01-20,0.0,3141.7825
2016-01-21,0.0,3572.7222
2016-01-22,0.0,3092.9429
2016-01-23,0.0,4098.194
2016-01-24,0.0,2632.0571
2016-01-25,0.0,4692.658
2016-01-26,0.0,3077.2395
2016-01-27,0.0,4171.5103
2016-01-28,0.0,4457.9937
2016-01-29,1.0,4834.8486
2016-01-30,0.0,3381.3257
2016-01-31,0.0,2338.145
2016-02-01,0.0,3281.2039
2016-02-02,0.0,2538.5076
2016-02-03,1.0,4455.4883
2016-02-04,1.0,4946.9917
2016-02-05,1.0,7278.305
2016-02-06,3.0,12813.356
2016-02-07,2.0,7577.197
2016-02-08,1.0,5965.4614
2016-02-09,0.0,3123.7231
2016-02-10,0.0,4188.44
2016-02-11,1.0,4998.045
2016-02-12,2.0,11069.142
2016-02-13,2.0,12148.975
2016-02-14,2.0,6789.3335
2016-02-15,1.0,4655.677
2016-02-16,0.0,4170.9355
2016-02-17,0.0,4371.843
2016-02-18,1.0,5139.522
2016-02-19,2.0,12639.215
2016-02-20,1.0,6936.369
2016-02-21,1.0,4341.1255
2016-02-22,1.0,6470.5884
2016-02-23,1.0,3810.3167
2016-02-24,1.0,4696.855
2016-02-25,1.0,6300.479
2016-02-26,1.0,8181.985
2016-02-27,3.0,12492.725
2016-02-28,1.0,5574.6274
2016-02-29,1.0,4375.2876
2016-03-01,1.0,5758.583
2016-03-02,1.0,8326.443
2016-03-03,1.0,6380.5503
2016-03-04,2.0,9527.247
2016-03-05,2.0,7747.8857
2016-03-06,1.0,4971.8193
2016-03-07,2.0,8429.161
2016-03-08,1.0,6566.2344
2016-03-09,2.0,8201.387
2016-03-10,1.0,6340.67
2016-03-11,2.0,9371.227
2016-03-12,2.0,7378.1753
2016-03-13,2.0,7275.2695
2016-03-14,2.0,7340.656
2016-03-15,1.0,5333.057
2016-03-16,1.0,5924.325
2016-03-17,2.0,8787.426
2016-03-18,2.0,8394.226
2016-03-19,3.0,10250.112
2016-03-20,3.0,12022.485
2016-03-21,2.0,9730.964
2016-03-22,1.0,6413.641
2016-03-23,2.0,7167.581
2016-03-24,4.0,14026.778
2016-03-25,2.0,8915.731
2016-03-26,1.0,5937.5366
2016-03-27,1.0,6962.3936
2016-03-28,3.0,10599.67
2016-03-29,1.0,6544.254
2016-03-30,1.0,6536.3574
2016-03-31,3.0,9824.933
2016-04-01,1.0,6515.986
2016-04-02,2.0,6110.149
2016-04-03,2.0,6310.007
2016-04-04,3.0,11627.848
2016-04-05,1.0,6376.555
2016-04-06,2.0,12761.439
2016-04-07,2.0,8820.301
2016-04-08,2.0,10261.94
2016-04-09,3.0,11049.273
2016-04-10,2.0,6619.5815
2016-04-11,3.0,11250.328
2016-04-12,2.0,6910.197
2016-04-13,2.0,9830.556
2016-04-14,1.0,6237.106
2016-04-15,2.0,9783.528
2016-04-16,3.0,10370.659
2016-04-17,3.0,9567.624
2016-04-18,3.0,12754.253
2016-04-19,1.0,5492.734
2016-04-20,2.0,10531.531
2016-04-21,2.0,8070.2964
2016-04-22,3.0,10980.254
2016-04-23,3.0,11661.218
2016-04-24,2.0,8086.438
2016-04-25,2.0,8159.2285
2016-04-26,2.0,10123.091
2016-04-27,2.0,8253.171
2016-04-28,3.0,9964.271
2016-04-29,3.0,11366.606
2016-04-30,3.0,11875.874
2016-05-01,2.0,5564.5015
2016-05-02,4.0,15598.994
2016-05-03,1.0,5809.049
2016-05-04,2.0,7971.3857
2016-05-05,3.0,10843.803
2016-05-06,2.0,8675.013
2016-05-07,2.0,9008.096
2016-05-08,3.0,9315.738
2016-05-09,4.0,11857.735
2016-05-10,2.0,8365.314
2016-05-11,2.0,9164.966
2016-05-12,2.0,8643.832
2016-05-13,3.0,10082.933
2016-05-14,2.0,8406.588
2016-05-15,4.0,12880.806
2016-05-16,3.0,12248.937
2016-05-17,2.0,10554.475
2016-05-18,2.0,7339.6274
2016-05-19,4.0,13673.01
2016-05-20,2.0,9884.266
2016-05-21,3.0,13145.793
2016-05-22,3.0,9783.436
2016-05-23,2.0,9529.087
2016-05-24,1.0,7552.2183
2016-05-25,2.0,7511.218
2016-05-26,4.0,15352.09
2016-05-27,1.0,5115.414
2016-05-28,1.0,5920.2563
2016-05-29,4.0,13373.428
2016-05-30,4.0,11694.387
2016-05-31,2.0,9110.583
2016-06-01,2.0,7468.595
2016-06-02,3.0,12678.122
2016-06-03,3.0,11224.202
2016-06-04,2.0,8658.865
2016-06-05,2.0,5639.8003
2016-06-06,5.0,18663.908
2016-06-07,1.0,5714.159
2016-06-08,1.0,8133.8467
2016-06-09,3.0,9559.149
2016-06-10,4.0,14138.396
2016-06-11,2.0,7410.8696
2016-06-12,4.0,10445.452
2016-06-13,3.0,9592.627
2016-06-14,2.0,7773.8823
2016-06-15,3.0,11432.991
2016-06-16,3.0,8665.968
2016-06-17,4.0,13458.06
2016-06-18,2.0,8449.715
2016-06-19,3.0,9781.399
2016-06-20,3.0,11706.893
2016-06-21,2.0,8235.431
2016-06-22,2.0,7464.1113
2016-06-23,1.0,5917.3535
2016-06-24,3.0,16746.041
2016-06-25,2.0,5624.8105
2016-06-26,6.0,17766.412
2016-06-27,3.0,10100.228
2016-06-28,3.0,8306.751
2016-06-29,2.0,6595.2417
2016-06-30,3.0,10007.166
2016-07-01,3.0,9679.309
2016-07-02,3.0,8254.765
2016-07-03,4.0,9531.271
2016-07-04,4.0,10968.205
2016-07-05,4.0,9050.607
2016-07-06,3.0,9532.363
2016-07-07,3.0,8841.363
2016-07-08,3.0,10509.042
2016-07-09,4.0,10559.386
2016-07-10,4.0,9648.859
2016-07-11,5.0,11965.115
2016-07-12,2.0,8570.7295
2016-07-13,4.0,9138.648
2016-07-14,3.0,9350.761
2016-07-15,3.0,11203.831
2016-07-16,5.0,12072.221
2016-07-17,5.0,10818.216
2016-07-18,6.0,14547.664
2016-07-19,3.0,8515.527
2016-07-20,2.0,9608.834
2016-07-21,5.0,14677.622
2016-07-22,3.0,8076.9614
2016-07-23,6.0,16328.61
2016-07-24,4.0,10994.927
2016-07-25,5.0,12200.612
2016-07-26,3.0,9154.486
2016-07-27,3.0,9023.868
2016-07-28,3.0,10864.094
2016-07-29,3.0,11156.206
2016-07-30,6.0,17204.139
2016-07-31,5.0,9812.861
2016-08-01,8.0,17003.906
2016-08-02,4.0,10401.899
2016-08-03,5.0,11088.032
2016-08-04,5.0,12979.026
2016-08-05,4.0,11781.519
2016-08-06,5.0,13212.175
2016-08-07,4.0,12184.541
2016-08-08,8.0,16572.27
2016-08-09,4.0,8912.616
2016-08-10,3.0,9797.325
2016-08-11,5.0,12322.067
2016-08-12,5.0,13849.139
2016-08-13,6.0,15979.32
2016-08-14,5.0,12895.33
2016-08-15,6.0,13917.892
2016-08-16,5.0,12873.137
2016-08-17,4.0,11391.688
2016-08-18,4.0,15409.074
2016-08-19,4.0,12346.319
2016-08-20,6.0,17140.756
2016-08-21,5.0,13316.416
2016-08-22,7.0,15249.312
2016-08-23,3.0,8959.185
2016-08-24,3.0,10737.786
2016-08-25,3.0,10726.835
2016-08-26,4.0,12911.097
2016-08-27,4.0,10178.796
2016-08-28,6.0,15302.616
2016-08-29,4.0,11538.781
2016-08-30,2.0,9467.057
2016-08-31,3.0,9424.642
2016-09-01,4.0,11559.857
2016-09-02,3.0,11837.006
2016-09-03,4.0,11295.838
2016-09-04,3.0,8782.707
2016-09-05,6.0,12977.884
2016-09-06,3.0,7445.188
2016-09-07,2.0,6162.8345
2016-09-08,3.0,9766.105
2016-09-09,3.0,10124.714
2016-09-10,3.0,9141.463
2016-09-11,4.0,14037.3545
2016-09-12,3.0,13055.82
2016-09-13,3.0,13381.902
2016-09-14,2.0,7545.321
2016-09-15,4.0,14800.401
2016-09-16,3.0,11933.843
2016-09-17,3.0,9389.918
2016-09-18,4.0,13157.802
2016-09-19,4.0,15006.982
2016-09-20,2.0,10230.369
2016-09-21,3.0,10356.784
2016-09-22,3.0,12461.833
2016-09-23,2.0,9576.659
2016-09-24,2.0,7492.0854
2016-09-25,4.0,13561.73
2016-09-26,4.0,12965.041
2016-09-27,2.0,9265.83
2016-09-28,2.0,9086.098
2016-09-29,2.0,9197.292
2016-09-30,3.0,13145.23
2016-10-01,2.0,6077.536
2016-10-02,3.0,10640.962
2016-10-03,3.0,11939.067
2016-10-04,2.0,8034.417
2016-10-05,2.0,9300.401
2016-10-06,2.0,10087.796
2016-10-07,3.0,11432.788
2016-10-08,2.0,5956.4336
2016-10-09,3.0,11151.566
2016-10-10,3.0,13505.871
2016-10-11,2.0,9720.283
2016-10-12,1.0,7220.711
2016-10-13,2.0,12480.207
2016-10-14,2.0,10470.208
2016-10-15,2.0,5695.234
2016-10-16,5.0,12167.426
2016-10-17,3.0,10177.492
2016-10-18,1.0,6820.8564
2016-10-19,2.0,6048.0703
2016-10-20,2.0,8598.68
2016-10-21,3.0,9123.837
2016-10-22,2.0,6457.7383
2016-10-23,4.0,13658.998
2016-10-24,2.0,8082.3096
2016-10-25,2.0,10511.953
2016-10-26,2.0,8147.301
2016-10-27,2.0,7727.279
2016-10-28,3.0,13415.709
2016-10-29,3.0,12876.276
2016-10-30,3.0,11993.467
2016-10-31,3.0,9911.993
2016-11-01,1.0,5567.986
2016-11-02,2.0,8169.0024
2016-11-03,2.0,6128.362
2016-11-04,2.0,7762.2217
2016-11-05,2.0,7846.4
2016-11-06,4.0,9032.361
2016-11-07,5.0,12783.403
2016-11-08,1.0,4767.96
2016-11-09,1.0,3553.7356
2016-11-10,2.0,7763.921
2016-11-11,3.0,11667.441
2016-11-12,2.0,7167.3657
2016-11-13,2.0,7979.886
2016-11-14,3.0,8710.472
2016-11-15,1.0,4644.432
2016-11-16,1.0,6782.7896
2016-11-17,1.0,6699.283
2016-11-18,2.0,9711.518
2016-11-19,2.0,7419.5176
2016-11-20,1.0,4487.6753
2016-11-21,2.0,9754.043
2016-11-22,0.0,3822.1775
2016-11-23,1.0,5204.8433
2016-11-24,1.0,5611.8813
2016-11-25,2.0,10034.9
2016-11-26,1.0,6041.73
2016-11-27,1.0,4070.6619
2016-11-28,1.0,6390.258
2016-11-29,0.0,4556.113
2016-11-30,0.0,3530.961
2016-12-01,1.0,5592.0073
2016-12-02,1.0,8487.704
2016-12-03,2.0,9319.463
2016-12-04,1.0,4886.605
2016-12-05,2.0,8792.507
2016-12-06,0.0,3661.1418
2016-12-07,1.0,4952.7773
2016-12-08,3.0,11110.762
2016-12-09,1.0,5132.4043
2016-12-10,1.0,5262.6987
2016-12-11,0.0,2501.1619
2016-12-12,0.0,3859.4285
2016-12-13,0.0,4028.391
2016-12-14,0.0,3841.0737
2016-12-15,0.0,2869.2646
2016-12-16,1.0,5475.331
2016-12-17,1.0,6028.0005
2016-12-18,1.0,4799.072
2016-12-19,1.0,5107.7056
2016-12-20,1.0,3578.1167
2016-12-21,1.0,4360.958
2016-12-22,2.0,5048.273
2016-12-23,2.0,5661.579
2016-12-24,2.0,6615.693
2016-12-25,1.0,4991.0015
2016-12-26,2.0,5717.716
2016-12-27,3.0,10824.533
2016-12-28,3.0,7001.9893
2016-12-29,2.0,7407.6416
2016-12-30,6.0,20127.654
2016-12-31,1.0,5302.4243
2017-01-01,2.0,7111.533
2017-01-02,3.0,9438.992
2017-01-03,1.0,6038.7764
2017-01-04,1.0,4054.2605
2017-01-05,1.0,4269.9116
2017-01-06,1.0,5483.0444
2017-01-07,1.0,5238.5146
2017-01-08,1.0,4740.2983
2017-01-09,1.0,4055.3523
2017-01-10,0.0,5020.763
2017-01-11,0.0,3199.0127
2017-01-12,1.0,5798.454
2017-01-13,1.0,4680.1396
2017-01-14,1.0,7534.9683
2017-01-15,1.0,3621.5112
2017-01-16,3.0,9602.724
2017-01-17,0.0,3291.041
2017-01-18,2.0,9463.945
2017-01-19,2.0,5835.576
2017-01-20,1.0,4266.429
2017-01-21,1.0,5580.402
2017-01-22,1.0,5659.2266
2017-01-23,1.0,4948.5264
2017-01-24,0.0,4066.4167
2017-01-25,1.0,5751.8433
2017-01-26,1.0,4669.598
2017-01-27,1.0,7390.297
2017-01-28,1.0,5643.486
2017-01-29,1.0,4203.547
2017-01-30,1.0,5771.177
2017-01-31,0.0,3944.9563
2017-02-01,0.0,3455.5945
2017-02-02,2.0,6412.2637
2017-02-03,0.0,6261.222
2017-02-04,2.0,8231.46
2017-02-05,2.0,5945.182
2017-02-06,1.0,6313.22
2017-02-07,0.0,3633.466
2017-02-08,1.0,4003.1226
2017-02-09,2.0,7075.8267
2017-02-10,2.0,8221.807
2017-02-11,2.0,6887.41
2017-02-12,3.0,8963.941
2017-02-13,3.0,11015.268
2017-02-14,1.0,7164.8765
2017-02-15,2.0,8218.645
2017-02-16,2.0,5616.7207
2017-02-17,2.0,8676.019
2017-02-18,2.0,6823.0664
2017-02-19,3.0,8867.572
2017-02-20,2.0,8590.453
2017-02-21,1.0,4918.188
2017-02-22,2.0,8766.613
2017-02-23,1.0,7297.648
2017-02-24,1.0,7957.2036
2017-02-25,3.0,14626.153
2017-02-26,3.0,12678.634
2017-02-27,2.0,8620.735
2017-02-28,1.0,4508.589
2017-03-01,1.0,6052.017
2017-03-02,2.0,10439.98
2017-03-03,2.0,8154.063
2017-03-04,1.0,5036.9336
2017-03-05,3.0,9461.416
2017-03-06,2.0,10146.164
2017-03-07,1.0,6125.041
2017-03-08,1.0,5049.3525
2017-03-09,1.0,7625.9893
2017-03-10,2.0,10628.534
2017-03-11,2.0,7122.1743
2017-03-12,2.0,6316.427
2017-03-13,3.0,11552.655
2017-03-14,1.0,7613.076
2017-03-15,1.0,6951.648
2017-03-16,2.0,8366.925
2017-03-17,2.0,8451.87
2017-03-18,2.0,7525.45
2017-03-19,3.0,9120.153
2017-03-20,3.0,11179.891
2017-03-21,1.0,4249.3374
2017-03-22,1.0,4768.475
2017-03-23,2.0,7234.034
2017-03-24,2.0,10858.785
2017-03-25,2.0,6958.0405
2017-03-26,3.0,8083.9375
2017-03-27,2.0,9379.309
2017-03-28,1.0,4617.7603
2017-03-29,2.0,8942.591
2017-03-30,3.0,9201.297
2017-03-31,3.0,10297.184
